College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Amity University, Noida",Delhi Ncr,Pharmacy,654,670,8.2,8,7.9,8.1,8.9,7.6,8.7
Delhi Institute Of Pharmaceutical Sciences And Research,Delhi Ncr,Pharmacy,654,670,8,8.5,7.2,8.2,8,7.7,8.1
Maharshi Dayanand University,Delhi Ncr,Pharmacy,654,670,7.8,8,7.7,8,8.4,6.6,8
All India Institute Of Medical Sciences,Delhi Ncr,Pharmacy,654,670,8.7,9,8,9.1,9,8.2,8.8
"Jamia Millia Islamia University-[Jmi], New Delhi",Delhi Ncr,Pharmacy,654,670,8,8.4,7.6,8.3,8.4,7.2,8.2
Guru Gobind Singh Indraprastha University,Delhi Ncr,Pharmacy,654,670,7.8,8.1,7.5,8,8.1,6.9,8.1
Delhi University,Delhi Ncr,Pharmacy,654,670,7.9,8.4,7.4,8.4,7.9,7.2,8.3
Pt Bhagwat Dayal Sharma Post Graduate Institute,Delhi Ncr,Pharmacy,654,670,7.5,8.4,7.5,8.1,7.5,7.6,6.1
Hamdard Institute Of Medical Sciences And Research,Delhi Ncr,Pharmacy,654,670,8.6,8.6,8.1,8.8,8.7,8.6,8.8
Apeejay Stya University,Delhi Ncr,Pharmacy,654,670,7.9,8.2,7.5,7.9,7.5,7.7,8.3
"Inmantec Institutions, Ghaziabad",Delhi Ncr,Pharmacy,654,670,8.6,9.1,7.9,9.2,8.6,8.2,8.7
Shri Baba Mastnath Institute Of Pharmaceutical Sciences,Delhi Ncr,Pharmacy,654,670,8.4,8.5,8,8,9,8.5,8.5
Sunder Deep Pharmacy College,Delhi Ncr,Pharmacy,654,670,9.2,9.1,8.8,9.9,9.2,8.7,9.3
Institute Of Technology And Science,Delhi Ncr,Pharmacy,654,670,8.2,8.6,7.5,8.3,8.6,7.9,8.1
Spectrum Institute Of Pharmaceutical Sciences & Research,Delhi Ncr,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"Aditya College Of Pharmacy And Science, New",Delhi Ncr,Pharmacy,654,670,7.5,7.5,7,8.2,8.1,6.6,7.5
"Sd College Of Pharmacy And Vocational Studies,",Delhi Ncr,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Ram Gopal College Of Pharmacy,Delhi Ncr,Pharmacy,654,670,7.6,8.3,7.3,8.7,7.5,6.7,7.3
Bbs Institute Of Pharmaceutical And Allied Sciences,Delhi Ncr,Pharmacy,654,670,4.7,7,4,7,6,2,2
"Gurugram University, Gurgaon",Delhi Ncr,Pharmacy,654,670,8.2,8.6,7.4,8.4,8.6,8,8.1
"Monad University, Hapur",Delhi Ncr,Pharmacy,654,670,8,7.6,7.4,8.5,8,8.2,8.1
Sharda University,Delhi Ncr,Pharmacy,654,670,7.9,7.7,7.6,7.9,8.6,6.9,8.6
Galgotias University,Delhi Ncr,Pharmacy,654,670,7.6,7.9,6.9,7.9,7.5,7.7,7.8
"Amity University, Gurgaon",Delhi Ncr,Pharmacy,654,670,7.7,7.8,7.1,7.6,8.6,7.1,8.1
Delhi Pharmaceutical Sciences And Research University,Delhi Ncr,Pharmacy,654,670,9,9.6,8.8,8.8,9.4,8.6,8.8
"Starex University, Gurgaon",Delhi Ncr,Pharmacy,654,670,8.8,9.1,9.1,8.7,8.6,8.5,8.7
Sunrise University,Delhi Ncr,Pharmacy,654,670,8.1,8.1,7.3,8.7,8.1,7.9,8.4
"Shobhit University, Meerut",Delhi Ncr,Pharmacy,654,670,7.8,8.4,7.3,7.8,8.3,7,7.9
Modern Vidya Niketan,Delhi Ncr,Pharmacy,654,670,7,7.2,6.4,7.7,7,6.8,6.8
"Andhra University, College Of Pharmaceutical Sciences, Visakhapatnam",Andhra Pradesh,Pharmacy,654,670,8,8.8,7.4,7.3,9,7.5,8
"Chalapathi Institute Of Pharmaceutical Sciences, Guntur",Andhra Pradesh,Pharmacy,654,670,8.1,8.7,8,8.3,8.8,7.9,7.1
Acharya Nagarjuna University,Andhra Pradesh,Pharmacy,654,670,7.3,7.7,7,7.2,8,5.7,8.2
Sri Padmavati Mahila Visvavidyalayam,Andhra Pradesh,Pharmacy,654,670,7.6,8.3,7.4,7.8,7.5,6.2,8.1
Sri Venkateswara College Of Pharmacy,Andhra Pradesh,Pharmacy,654,670,5.9,7,4.5,7.7,6,3.7,6.7
Raghavendhra Institute Of Pharmaceutical Education And Research,Andhra Pradesh,Pharmacy,654,670,8,8.5,6.5,8.6,9,7.2,8.2
K L University,Andhra Pradesh,Pharmacy,654,670,8.3,8.5,7.6,8.3,8.8,8.3,8.2
Bapatla College Of Pharmacy,Andhra Pradesh,Pharmacy,654,670,7.6,9,7.8,8.6,9.8,4.2,6
Sri Venkateswara University,Andhra Pradesh,Pharmacy,654,670,8.1,7.9,8.3,8.2,7.9,7.7,8.4
"VignanÃ¢â‚¬â„¢S Foundation For Science, Technology, And Research,",Andhra Pradesh,Pharmacy,654,670,8.2,8.2,8.4,8.5,8.2,7.7,8.4
Shri Vishnu College Of Pharmacy,Andhra Pradesh,Pharmacy,654,670,8,8.1,8,8.1,8.4,7.7,7.8
Jawaharlal Nehru Technological University,Andhra Pradesh,Pharmacy,654,670,7.4,7.7,6.8,7.1,7.7,7.1,7.8
Centurion University Of Technology And Management,Andhra Pradesh,Pharmacy,654,670,7.8,8,7.2,8.3,7.6,7.4,8.3
Malineni Perumallu Educational Society'S Group Of Institutions,Andhra Pradesh,Pharmacy,654,670,6.3,5.7,7.5,7.3,5.3,4.7,7.1
Kakinada Institute Of Technology And Science,Andhra Pradesh,Pharmacy,654,670,6.9,7.4,7.1,6.8,7,5.9,7.1
Akrg College Of Pharmacy,Andhra Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"A.M.Reddy Memorial College Of Pharmacy, Guntur",Andhra Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Asn Pharmacy College,Andhra Pradesh,Pharmacy,654,670,8.7,9,8,9.3,8,7.5,8.1
"Balaji College Of Pharmacy, Ananthapur",Andhra Pradesh,Pharmacy,654,670,8.1,8,7.5,8.5,8,8,8.5
Bellamkonda Institute Of Technology And Sciences,Andhra Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Gitam Institute Of Pharmacy,Andhra Pradesh,Pharmacy,654,670,6.2,7,4,7,7,4,8
"Hindu College Of Pharmacy, Guntur",Andhra Pradesh,Pharmacy,654,670,7.5,8,7.3,7,8.3,6.6,7.7
"K.G.R.L College Of Pharmacy, Bhimavaram",Andhra Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Kvsr Siddhartha College Of Pharmaceutical Sciences,Andhra Pradesh,Pharmacy,654,670,6.8,8.3,5.3,7.7,8.7,4.3,6.7
"Mam College Of Pharmacy, Narasaraopet",Andhra Pradesh,Pharmacy,654,670,6.3,7,7.4,8.2,6,6,8.1
Narasaraopeta Institute Of Pharmaceutical Sciences,Andhra Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"Narayana Pharmacy College, Nellore",Andhra Pradesh,Pharmacy,654,670,8.2,8.8,7.6,9,9,7,7.6
Nimra College Of Pharmacy,Andhra Pradesh,Pharmacy,654,670,7.2,7.3,6.7,7.3,7.7,7,7.3
"Pydah College Of Pharmacy, Kakinada",Andhra Pradesh,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Manipal College Of Pharmaceutical Sciences,Karnataka,Pharmacy,654,670,8.6,8.8,7.9,8.8,8.8,8.5,8.6
"Jss Academy Of Higher Education & Research,",Karnataka,Pharmacy,654,670,8.2,8.3,7.5,8.6,8.5,8,8
"Kle University'S College Of Pharmacy, Belgaum",Karnataka,Pharmacy,654,670,8.1,8,8,8.3,8.3,8,8
The Nitte Gulabi Shetty Memorial Institute Of,Karnataka,Pharmacy,654,670,8.3,9.2,7.7,8.6,8.6,7.5,8.4
Acharya & Bm Reddy College Of Pharmacy,Karnataka,Pharmacy,654,670,8.3,8.1,7.4,8.5,9.1,8,8.4
"Al- Ameen College Of Pharmacy, Bangalore",Karnataka,Pharmacy,654,670,8.5,8.7,8.3,8.4,9.3,8.1,8.1
Manipal Academy Of Higher Education,Karnataka,Pharmacy,654,670,8.4,8.5,8.2,8.6,8.8,7.8,8.4
Kle College Of Pharmacy,Karnataka,Pharmacy,654,670,6.6,8,5.8,7.5,7.5,4.8,6
Ks Hegde Medical Academy,Karnataka,Pharmacy,654,670,8.6,9,8.4,9.6,8.4,8.2,8.2
"Maratha Mandal College Of Pharmacy, Belgaum",Karnataka,Pharmacy,654,670,5.4,8,1.5,7.5,7,4.2,4.3
"Sjm College Of Pharmacy, Chitradurga",Karnataka,Pharmacy,654,670,8.7,9,8.5,9,8,9,8.5
"St John'S Pharmacy College, Bangalore",Karnataka,Pharmacy,654,670,6.6,8,5.3,6.2,7.4,6.5,6
Farooqia College Of Pharmacy,Karnataka,Pharmacy,654,670,7.8,8,7.4,8.4,6.9,7.8,8.3
"Hke Society'S College Of Pharmacy, Gulbarga",Karnataka,Pharmacy,654,670,5.2,5,5,8.5,4.5,4.5,3.5
St George College Of Management Science And,Karnataka,Pharmacy,654,670,6.4,7.5,5.5,8,6,5,6.3
Krupanidhi College Of Pharmacy,Karnataka,Pharmacy,654,670,8.4,8.9,7.6,8.3,8.5,8.3,8.5
Bvv Sangha'S Hangal Shri Kumareshwar College Of,Karnataka,Pharmacy,654,670,7.5,8,7,7.8,9.3,6.3,6.8
"Rrk Samithi College Of Pharmacy, Bidar",Karnataka,Pharmacy,654,670,5.8,6.5,4.5,5.5,6,4.5,7.5
Pes University,Karnataka,Pharmacy,654,670,8,8.5,7.7,8.1,8.1,8.1,7.6
T John Institute Of Management And Science,Karnataka,Pharmacy,654,670,8.1,8.5,7.5,8.5,8,7.8,8.3
Dayananda Sagar University,Karnataka,Pharmacy,654,670,7.3,7.7,6.3,8,7.7,7.6,6.7
"Kle University, Belgaum",Karnataka,Pharmacy,654,670,7.2,7.4,7,7.6,7.9,6.1,7.4
"Yenepoya University, Mangalore",Karnataka,Pharmacy,654,670,7.8,8.3,6.9,8.2,8.6,7.6,6.9
Nitte University,Karnataka,Pharmacy,654,670,7.6,7.1,7.1,7.8,7.8,7.8,7.8
Adichunchanagiri University,Karnataka,Pharmacy,654,670,7.5,7.3,6.7,8.2,7.7,7.6,7.7
"Blde University, Bijapur",Karnataka,Pharmacy,654,670,8.1,8.3,7.8,8.4,8.1,7.7,8.1
M.S. Ramaiah University Of Applied Sciences,Karnataka,Pharmacy,654,670,7.6,8.2,6.3,8.2,7.9,7.2,7.8
"Krupanidhi Group Of Institutions, Bangalore",Karnataka,Pharmacy,654,670,8.7,8.8,8.2,8.8,8.9,8.8,8.9
Dayananda Sagar Institutions,Karnataka,Pharmacy,654,670,7.8,7.8,7.3,7.6,8.8,7.3,7.7
Institute Of Clinical Research,Karnataka,Pharmacy,654,670,8.6,9,8.3,9,8.7,8.7,8
National Institute Of Pharmaceutical Education And Research,Telangana,Pharmacy,654,670,8.4,8.6,8,8.7,8,8.4,8.4
"Sultan Ul Uloom College Of Pharmacy, Hyderabad",Telangana,Pharmacy,654,670,6.9,7,6.7,6.5,7,7,7.3
Jawaharlal Nehru Technological University,Telangana,Pharmacy,654,670,8,8.3,7.7,7.8,8.3,7.6,8.3
Narsee Monjee Institute Of Management Studies,Telangana,Pharmacy,654,670,8.8,8.9,8.4,9.2,8.9,8.5,8.9
Deccan School Of Pharmacy,Telangana,Pharmacy,654,670,8.1,9,7.7,8,7.7,8.3,8
Osmania University,Telangana,Pharmacy,654,670,7.9,8.3,7.5,8,8,7.7,7.9
Kakatiya University,Telangana,Pharmacy,654,670,7.2,7.4,6.8,7.6,7.2,6.8,7.4
"Shadan Women'S College Of Pharmacy, Hyderabad",Telangana,Pharmacy,654,670,4.8,5.3,5.3,5.7,5,3,4.7
"St. Peter'S Institute Of Pharmaceutical Sciences -[Spips],",Telangana,Pharmacy,654,670,9.3,8.2,7.4,8.2,8,7.5,8.1
"Sri Venkateshwara College Of Pharmacy, Hyderabad",Telangana,Pharmacy,654,670,6.8,7.2,5,8.2,7.4,6.5,6.5
"Anurag University, Hyderabad",Telangana,Pharmacy,654,670,8.3,8.5,7.5,8.2,8.9,8,8.4
Birla Institute Of Technology And Science,Telangana,Pharmacy,654,670,9,9,8.4,8.8,9.4,9.1,9.4
"Scient Institute Of Technology, Ibrahimpatnam, Hyderabad",Telangana,Pharmacy,654,670,7.5,7.9,6.6,7.3,8.1,7,8
Guru Nanak Institutions Technical Campus,Telangana,Pharmacy,654,670,7.8,7.9,7.8,7.8,8.1,7.6,7.8
"Cmr Group Of Institutions, Hyderabad",Telangana,Pharmacy,654,670,7.4,7.8,7.5,7.4,7.1,7.1,7.7
"St. MaryÃ¢â‚¬â„¢S Group Of Institutions, Hyderabad",Telangana,Pharmacy,654,670,7.2,7.4,6.5,7.3,7.8,6.5,7.6
Sana Engineering College,Telangana,Pharmacy,654,670,6.5,7,6.5,7.3,7.5,4.8,6.1
Nalla Narasimha Reddy Education Society'S Group Of,Telangana,Pharmacy,654,670,7.7,7.7,7.2,8,8.2,6.7,8.2
Brilliant Grammar School Educational Society'S Group Of,Telangana,Pharmacy,654,670,7.3,7.5,6.5,8,8,5,9
"Aurora Group Of Institutions, Hyderabad",Telangana,Pharmacy,654,670,6.9,6.9,6.4,8,6.6,6.3,6.9
"Avanthi Educational Society, Hyderabad",Telangana,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Institute Of Science And Technology,Telangana,Pharmacy,654,670,7.7,9,7.5,8,8.5,7.5,5.8
"University College Of Technology, Osmania University, Hyderabad",Telangana,Pharmacy,654,670,7.5,8.1,8.3,7,7.7,6.1,7.5
"Svs Group Of Institutions, Warangal",Telangana,Pharmacy,654,670,7.2,7.4,6.6,7.4,7.5,6.4,7.6
Hasvita Group Of Institutions,Telangana,Pharmacy,654,670,8.3,9,7.5,8.5,8.5,8,8
Vivekananda Group Of Institutions,Telangana,Pharmacy,654,670,8.8,8.4,8.9,8.7,8.8,9,9
"Arvindaksha Educational SocietyÃ¢â‚¬â„¢S Group Of Institutions, Suryapet",Telangana,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Madhira Institute Of Technology & Science,Telangana,Pharmacy,654,670,6.6,6,6.2,6.6,6.8,6.8,7.1
"Mohammadiya Educational Society, Khammam",Telangana,Pharmacy,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
"Devi Ahilya Vishwavidyalaya, Indore",Madhya Pradesh,Pharmacy,654,670,7.5,8,6.5,7.8,7.5,7,7.9
B.R. Nahata College Of Pharmacy,Madhya Pradesh,Pharmacy,654,670,7.7,8,6.5,7,7.5,8,9
"Amity University, Gwalior",Madhya Pradesh,Pharmacy,654,670,8.6,8.8,8.5,8.4,9.3,8,8.3
Barkatullah University,Madhya Pradesh,Pharmacy,654,670,6.9,7.3,6.1,7.4,6.9,6,7.5
Indira Gandhi National Tribal University,Madhya Pradesh,Pharmacy,654,670,7.5,7.5,7.3,8.4,7.9,5.9,7.9
Lnct University,Madhya Pradesh,Pharmacy,654,670,9,9,8.8,9.3,8.8,8.9,8.9
Sardar Patel University,Madhya Pradesh,Pharmacy,654,670,7.9,7.9,7.4,8.4,8,7.7,8
Oriental University,Madhya Pradesh,Pharmacy,654,670,7.2,7.5,6.7,7.2,7.7,7.1,7.1
Shri Krishna University,Madhya Pradesh,Pharmacy,654,670,8.1,8.1,7.4,8.3,8.5,8,8
Aks University,Madhya Pradesh,Pharmacy,654,670,7.3,7.8,5.9,8.2,7.6,6.9,7.4
"Medi-Caps University, Indore",Madhya Pradesh,Pharmacy,654,670,7.4,7.6,6.3,7.5,7.9,7.4,7.6
"People'S University, Bhopal",Madhya Pradesh,Pharmacy,654,670,7,6.7,6.6,7.5,7.2,6.6,7.4
